BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
2960556,FRESH HORIZON REALTY REALTORS,FRESH HORIZON REALTY REALTORS,1697173,1697173,B230,1222,FRESH HORIZON REALTY LLC,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
3099238,ARTECH HOUSE BOOK-HARDCOVER,ARTECH HOUSE BOOK-HARDCOVER BOOK COMMUNICATOR,1373541,1458203,B410,2120,HORIZON HOUSE PUBLICATIONS INC,horizon,BOOKS & MUSIC
2670809,HORIZON FOURSQUARE CHURCH RELIGIOUS CTR,HORIZON FOURSQUARE CHURCH RELIGIOUS CTR,1565303,1565303,B189,2796,HORIZON FOURSQUARE CHURCH,horizon,MISCELLANEOUS ORGANIZATION ADVERTISING
2551916,SOFTWARE HORIZONS COMPUTER SFTWRE,SOFTWARE HORIZONS COMPUTER SFTWRE,1508560,1508560,B340,354,SOFTWARE HORIZONS INC,horizon,COMPUTER SOFTWARE
2884284,OUTLET SHOPPES AT BURLINGTON SHOPPING CTR,OUTLET SHOPPES AT BURLINGTON SHOPPING CTR,420434,420434,G719,1366,HORIZON GROUP PROPERTIES INC-PX,horizon,MISCELLANEOUS RETAIL
2675381,NEW HORIZON LIFEMEL HONEY DIR RESP PROD,NEW HORIZON LIFEMEL HONEY DIR RESP PROD HONEY,1577211,1577211,R100,474,NEW HORIZONS LLC,horizon,DIRECT RESPONSE PRODUCTS
538323,HORIZON EYE CARE OPTICAL CTR,HORIZON EYE CARE OPTICAL CTR,523534,523534,G71E,1056,HORIZON EYE CARE PA,horizon,OPTICAL GOODS AND SERVICES
2970896,HORIZON LEARNING CONNECTION INSTRUCTIONAL SVCS,HORIZON LEARNING CONNECTION INSTRUCTIONAL SVCS,1702946,1702946,B133,850,HORIZON LEARNING CONNECTION,horizon,"SCHOOLS & CAMPS, SEMINARS"
3266621,HORIZON FOODS FOOD DELIVERY SVCS,HORIZON FOODS FOOD DELIVERY SVCS,1839487,1839487,B119,629,PLAINVIEW HORIZON FOODS INC,horizon,MISCELLANEOUS PROFESSIONAL SERVICES
540683,HORIZON GROUP REALTORS,HORIZON GROUP REALTORS,420434,420434,B230,1222,HORIZON GROUP PROPERTIES INC-PX,horizon,"REAL ESTATE, R.E. BROKERS & DEVELOPERS"
540918,HORIZON INN HOTELS-MOTELS,HORIZON INN HOTELS-MOTELS,525674,525674,T431,2070,HORIZON INN,horizon,HOTELS & RESORTS
