BrandCode,BrandDesc,BrandVariant,AdvParentCode,AdvSubsidCode,PCCSubCode,ProductID,AdvParentDesc,kw_label,PCCSubDesc
794823,PRINCESS MARGARET HOSPITAL HOSPITAL,PRINCESS MARGARET HOSPITAL HOSPITAL,674915,674915,D249,801,UNIVERSITY HEALTH NETWORK,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
1378097,ANTHEM BLUE CROSS & BLUE SHIELD INSURANCE-HEALTH,ANTHEM BLUE CROSS & BLUE SHIELD INSURANCE-HEALTH,2304089,2304089,B212,2910,ANTHEM INC,anthem,MEDICAL & DENTAL INSURANCE
2138125,ANTHEM BLUE CROSS & BLUE SHIELD OF OHIO INSURANCE-HEALTH,ANTHEM BLUE CROSS & BLUE SHIELD OF OHIO INSURANCE-HEALTH MEDICARE,2304089,957507,B212,2910,ANTHEM INC,anthem,MEDICAL & DENTAL INSURANCE
1692183,CIGNA MEDICAL GROUP MEDICAL SVCS,CIGNA MEDICAL GROUP MEDICAL SVCS,11323,1118253,D249,961,CIGNA CORP,cigna,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
444261,PROVENA MERCY MEDICAL CTR HOSPITAL,PROVENA MERCY MEDICAL CTR HOSPITAL,2121587,2121587,D249,801,PRESENCE HEALTH NETWORK,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
308547,DOCTORS CARE MEDICAL CTR MEDICAL SVCS,DOCTORS CARE MEDICAL CTR MEDICAL SVCS,308551,308551,D249,961,HORIZON HEALTH GROUP INC,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
1845763,COMMUNITY HEALTH NETWORK EMPLOYMENT RECRUITMENT,COMMUNITY HEALTH NETWORK EMPLOYMENT RECRUITMENT,1110432,1110432,B720,529,COMMUNITY HEALTH NETWORK INC-IL,healthnet,EMPLOYMENT RECRUITMENT
803658,AMERICHOICE INSURANCE-HEALTH,AMERICHOICE INSURANCE-HEALTH,43091,651907,B212,2910,UNITEDHEALTH GROUP INC,unitedhealth,MEDICAL & DENTAL INSURANCE
1013676,KAISER PERMANENTE CTR FOR HEALTH RESERCH MEDICAL SVCS,KAISER PERMANENTE CTR FOR HEALTH RESERCH MEDICAL SVCS,13499,8600,D249,961,KAISER FNDN HEALTH PLAN INC,kaiser,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
1996609,HORIZON DENTAL CTR DENTAL SVCS,HORIZON DENTAL CTR DENTAL SVCS,1257780,1257780,D249,446,HORIZON DENTAL CTR PC-OM,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
36002,BLUE CROSS & BLUE SHIELD SPONSORED SPORTING EVENT,BLUE CROSS & BLUE SHIELD SPONSORED SPORTING EVENT,10593,10593,G322,1429,BLUE CROSS & BLUE SHIELD ASSN,bcbs,AMUSEMENT PARKS & SPORTING EVENTS
36011,HUMANA INSURANCE-HEALTH,HUMANA INSURANCE-HEALTH GOLD PLUS,13054,9050,B212,2910,HUMANA INC,humana,MEDICAL & DENTAL INSURANCE
1385132,BLUE CROSS & BLUE SHIELD OF MISSISSIPPI INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF MISSISSIPPI INSURANCE-HEALTH,965179,965179,B212,2910,BLUE CROSS & BLUE SHIELD OF MISSPPI,bcbs,MEDICAL & DENTAL INSURANCE
1385326,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND INSURANCE-HEALTH,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND INSURANCE-HEALTH,958595,958595,B212,2910,BLUE CROSS & BLUE SHLD OF RHD ISLND,bcbs,MEDICAL & DENTAL INSURANCE
1385502,ACCESS COMMUNITY HEALTH NETWORK MEDICAL SVCS,ACCESS COMMUNITY HEALTH NETWORK MEDICAL SVCS,965464,965464,D249,961,ACCESS COMMUNITY HEALTH NETWORK,healthnet,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
1847531,HEALTHSPRING INSURANCE-HEALTH,HEALTHSPRING INSURANCE-HEALTH TOTAL CARE,11323,958431,B212,2910,CIGNA CORP,cigna,MEDICAL & DENTAL INSURANCE
1699163,ARCADIAN HEALTH PLAN INSURANCE-HEALTH,ARCADIAN HEALTH PLAN INSURANCE-HEALTH,13054,13054,B212,2910,HUMANA INC,humana,MEDICAL & DENTAL INSURANCE
1699548,HORIZON FAMILY MEDICAL GROUP MEDICAL SVCS,HORIZON FAMILY MEDICAL GROUP MEDICAL SVCS,1122402,1122402,D249,961,HORIZON MEDICAL GROUP PC,horizon,"HOSPITALS,PHYSICIANS & MISC.PHYSICAL CULTURE"
